   36: 0x00489340  TogglePortals
   37: 0x00489350  ToggleCollision
   38: 0x00489360  ToggleCollisionDisplay
   39: 0x00489440  TogglePlayerBounds
   40: 0x00489370  Stuck
   41: 0x00489390  Logout
   42: 0x004893B0  Quit
   43: 0x00489450  ShowNameplates
   44: 0x00489460  HideNameplates
   45: 0x00489470  ShowFriendNameplates
   46: 0x00489480  HideFriendNameplates
   47: 0x00489490  SetCursor
   48: 0x004895B0  ClearCursor
   49: 0x004895D0  CursorHasItem
   50: 0x00489600  CursorHasSpell
   51: 0x00489630  CursorHasMoney
   52: 0x00489660  EquipCursorItem
   53: 0x004897B0  DeleteCursorItem
   54: 0x004898F0  EquipPendingItem
   55: 0x00489960  CancelPendingEquip
   56: 0x004899D0  TargetUnit
   57: 0x00489A80  TargetNearestEnemy
   58: 0x00489AA0  TargetNearestFriend
   59: 0x00489AC0  TargetNearestPartyMember
   60: 0x00489AE0  TargetNearestRaidMember
   61: 0x00489B00  TargetLastTarget
   62: 0x00489B40  TargetLastEnemy
   63: 0x00489B50  AttackTarget
   64: 0x00489B80  AssistUnit
   65: 0x00489C40  AssistByName
   66: 0x00489D60  TargetByName
   67: 0x00489E00  FollowUnit
   68: 0x00489EC0  FollowByName
   69: 0x00489FF0  ClearTarget
   70: 0x0048A040  AutoEquipCursorItem
   71: 0x0048A070  ToggleSheath
   72: 0x0048A0A0  GetZoneText
   73: 0x0048A0C0  GetRealZoneText
   74: 0x0048A0E0  GetSubZoneText
   75: 0x0048A100  GetMinimapZoneText
   76: 0x0048A120  InitiateTrade
   77: 0x0048A1B0  CanInspect
   78: 0x0048A310  NotifyInspect
   79: 0x0048A3B0  InviteToParty
   80: 0x0048A420  InviteByName
   81: 0x0048A510  UninviteFromParty
   82: 0x0048A580  UninviteFromRaid
   83: 0x0048A610  UninviteByName
   84: 0x0048A7C0  PromoteToPartyLeader
   85: 0x0048A830  PromoteByName
   86: 0x0048A900  RequestTimePlayed
   87: 0x0048A970  RepopMe
   88: 0x0048A9A0  AcceptResurrect
   89: 0x0048A9D0  DeclineResurrect
   90: 0x0048AA00  ResurrectHasSickness
   91: 0x0048AA30  ResurrectHasTimer
   92: 0x0048AA60  BeginTrade
   93: 0x0048AA70  CancelTrade
   94: 0x0048AA80  AcceptGroup
   95: 0x0048AAB0  DeclineGroup
   96: 0x0048AAE0  AcceptGuild
   97: 0x0048AB10  DeclineGuild
   98: 0x0048AB40  CancelLogout
   99: 0x0048AB50  ForceLogout
  100: 0x0048AB60  ForceQuit
  101: 0x0048AB70  GetCursorMoney
  102: 0x0048ABA0  DropCursorMoney
  103: 0x0048ABC0  PickupPlayerMoney
  104: 0x0048AC60  ShowInspectCursor
  105: 0x0048AC70  ResetCursor
  106: 0x0048AC80  HasSoulstone
  107: 0x0048AD70  UseSoulstone
  108: 0x0048AE90  HasKey
  109: 0x0048AEF0  GuildInviteByName
  110: 0x0048AFB0  GuildUninviteByName
  111: 0x0048B050  GuildPromoteByName
  112: 0x0048B0F0  GuildDemoteByName
  113: 0x0048B190  GuildSetLeaderByName
  114: 0x0048B270  GuildSetMOTD
  115: 0x0048B330  GuildLeave
  116: 0x0048B3A0  GuildDisband
  117: 0x0048B410  GuildInfo
  118: 0x0048B480  GetScreenWidth
  119: 0x0048B4D0  GetScreenHeight
  120: 0x0048B520  GetDamageBonusStat
  121: 0x0048B5A0  GetReleaseTimeRemaining
  122: 0x0048B5E0  GetCorpseRecoveryDelay
  123: 0x0048B620  GetInstanceBootTimeRemaining
  124: 0x0048B660  GetSummonConfirmTimeLeft
  125: 0x0048B6A0  GetSummonConfirmSummoner
  126: 0x0048B720  GetSummonConfirmAreaName
  127: 0x0048B770  ConfirmSummon
  128: 0x0048B820  GetCursorPosition
  129: 0x0048B8B0  GetNetStats
  130: 0x0048B920  SitOrStand
  131: 0x0048B970  StopCinematic
  132: 0x0048B980  RunScript
  133: 0x0048BA00  CheckInteractDistance
  134: 0x0048BC20  GetScreenResolutions
  135: 0x0048BF10  GetCurrentResolution
  136: 0x0048BFD0  SetScreenResolution
  137: 0x0048C0D0  GetRefreshRates
  138: 0x0048C270  SetupFullscreenScale
  139: 0x0048C360  GetMultisampleFormats
  140: 0x0048C580  GetCurrentMultisampleFormat
  141: 0x0048C640  SetMultisampleFormat
  142: 0x0048C7B0  RandomRoll
  143: 0x0048C8C0  OpeningCinematic
  144: 0x0048C930  InCinematic
  145: 0x0048C960  IsWindowsClient
  146: 0x0048C980  IsMacClient
  147: 0x0048C990  IsLinuxClient
  148: 0x0048C9A0  GetGMTicket
  149: 0x0048C9D0  NewGMTicket
  150: 0x0048CA60  UpdateGMTicket
  151: 0x0048CB70  DeleteGMTicket
  152: 0x0048CC00  GMSurveyQuestion
  153: 0x0048CD30  GMSurveyAnswerSubmit
  154: 0x0048CEF0  GMSurveyCommentSubmit
  155: 0x0048CF80  GMSurveySubmit
  156: 0x0048CFC0  GetGMStatus
  157: 0x0048D0C0  AcceptXPLoss
  158: 0x0048D120  CheckSpiritHealerDist
  159: 0x0048D170  CheckTalentMasterDist
  160: 0x0048D1C0  CheckPetUntrainerDist
  161: 0x0048D210  CheckBinderDist
  162: 0x0048D260  RetrieveCorpse
  163: 0x0048D2E0  BindEnchant
  164: 0x0048D300  ReplaceEnchant
  165: 0x0048D330  ReplaceTradeEnchant
  166: 0x0048D340  NotWhileDeadError
  167: 0x0048D350  GetRestState
  168: 0x0048D3F0  GetXPExhaustion
  169: 0x0048D4B0  GetTimeToWellRested
  170: 0x0048D4C0  GMRequestPlayerInfo
  171: 0x0048D4E0  GetCoinIcon
  172: 0x0048D540  GetZonePVPInfo
  173: 0x0048D700  TogglePVP
  174: 0x0048D770  ConfirmBindOnUse
  175: 0x0048D780  SetPortraitToTexture
  176: 0x0048D8B0  GetLocale
  177: 0x0048D8D0  GetGMTicketCategories
  178: 0x0048D960  DropItemOnUnit
  179: 0x0048DAB0  RestartGx
  180: 0x0048DAD0  RestoreVideoDefaults
  181: 0x0048DAE0  GetBindLocation
  182: 0x0048DB40  GetVideoCaps
  183: 0x0048DC40  ConfirmTalentWipe
  184: 0x0048DCA0  ConfirmPetUnlearn
  185: 0x0048DD00  ConfirmBinder
  186: 0x0048DD60  ShowingHelm
  187: 0x0048DDC0  ShowingCloak
  188: 0x0048DE20  ShowHelm
  189: 0x0048DE70  ShowCloak
  190: 0x0048DEC0  SetEuropeanNumbers
  191: 0x0048DEE0  GetAreaSpiritHealerTime
  192: 0x0048DF20  AcceptAreaSpiritHeal
  193: 0x0048DF30  CancelAreaSpiritHeal
  194: 0x0048DF40  GetMouseFocus
  195: 0x0048DF90  GetRealmName
  196: 0x0048DFB0  GetItemQualityColor
  197: 0x0048E070  GetItemInfo
  198: 0x0048E350  GetNumAddOns
  199: 0x0048E390  GetAddOnInfo
  200: 0x0048E530  GetAddOnMetadata
  201: 0x0048E5E0  GetAddOnDependencies
  202: 0x0048E690  EnableAddOn
  203: 0x0048E720  EnableAllAddOns
  204: 0x0048E760  DisableAddOn
  205: 0x0048E7F0  DisableAllAddOns
  206: 0x0048E830  ResetDisabledAddOns
