=== Table 0x00AC3E00  Count=113 ===
   17: 0x004DFC90  UpdateCustomizationScene
   18: 0x004E0B50  CycleCharCustomization
   19: 0x004E1B60  RandomizeCharCustomization
   20: 0x004E0BE0  GetCharacterCreateFacing
   21: 0x004E0C10  SetCharacterCreateFacing
   22: 0x004DFCA0  GetRandomName
   23: 0x004E0C60  CreateCharacter
   24: 0x004E2500  CustomizeExistingCharacter
   25: 0x00608560  PaidChange_GetPreviousRaceIndex
   26: 0x004E0CA0  PaidChange_GetCurrentRaceIndex
   27: 0x004E0CD0  PaidChange_GetCurrentClassIndex
   28: 0x004E1B70  PaidChange_GetName
   29: 0x004E0D00  IsRaceClassValid
   30: 0x004DFA70  IsRaceClassRestricted
   31: 0x004E0DD0  GetCreateBackgroundModel

=== Table 0x00AC4378  Count=13 ===
    0: 0x004E2F60  SetCharSelectModelFrame
    1: 0x004E44E0  SetCharSelectBackground
    2: 0x004E4530  GetCharacterListUpdate
    3: 0x004E3140  GetNumCharacters
    4: 0x004E3170  GetCharacterInfo
    5: 0x004E4580  SelectCharacter
    6: 0x004E33A0  DeleteCharacter
    7: 0x004E3410  RenameCharacter
    8: 0x004E3530  DeclineCharacter
    9: 0x004E2FD0  UpdateSelectionCustomizationScene
   10: 0x004E3000  GetCharacterSelectFacing
   11: 0x004E3030  SetCharacterSelectFacing
   12: 0x004E3620  GetSelectBackgroundModel

=== Table 0x00AC7A58  Count=89 ===
    0: 0x0050D170  SendChatMessage
    1: 0x00500560  SendAddonMessage
    2: 0x0050D8A0  SendSystemMessage
    3: 0x00500760  GetNumLanguages
    4: 0x00500810  GetLanguageByIndex
    5: 0x00500910  GetDefaultLanguage
    6: 0x00500980  DoEmote
    7: 0x004FBD00  LoggingChat
    8: 0x004FBD20  LoggingCombat
    9: 0x0050DAA0  JoinChannelByName
   10: 0x0050DAA0  JoinTemporaryChannel
   11: 0x0050DAC0  JoinPermanentChannel
   12: 0x005096D0  LeaveChannelByName
   13: 0x004FE630  ListChannelByName
   14: 0x0050DAE0  ListChannels
   15: 0x004FE650  GetChannelList
   16: 0x004FE720  SetChannelPassword
   17: 0x004FE810  SetChannelOwner
   18: 0x004FE830  DisplayChannelOwner
   19: 0x004FE850  GetChannelName
   20: 0x004FE950  ChannelModerator
   21: 0x004FE970  ChannelUnmoderator
   22: 0x004FE990  ChannelMute
   23: 0x004FE9B0  ChannelUnmute
   24: 0x004FE9D0  ChannelInvite
   25: 0x004FE9F0  ChannelKick
   26: 0x004FEA10  ChannelBan
   27: 0x004FEA30  ChannelUnban
   28: 0x004FEA50  ChannelToggleAnnouncements
   29: 0x00501140  ChannelSilenceVoice
   30: 0x00501250  ChannelSilenceAll
   31: 0x005012F0  ChannelUnSilenceVoice
   32: 0x00501400  ChannelUnSilenceAll
   33: 0x004FEAF0  ChangeChatColor
   34: 0x004FED10  ResetChatColors
   35: 0x004FEEE0  GetChatTypeIndex
   36: 0x004FBD90  GetChatWindowInfo
   37: 0x004FBF60  GetChatWindowSavedPosition
   38: 0x004FC020  GetChatWindowSavedDimensions
   39: 0x004FC0C0  GetChatWindowMessages
   40: 0x004FEFF0  GetChatWindowChannels
   41: 0x004FC170  AddChatWindowMessages
   42: 0x004FC250  RemoveChatWindowMessages
   43: 0x00501DB0  AddChatWindowChannel
   44: 0x004FF0D0  RemoveChatWindowChannel
   45: 0x004FC330  SetChatWindowName
   46: 0x004FC3D0  SetChatWindowSize
   47: 0x004FC470  SetChatWindowColor
   48: 0x004FC5B0  SetChatWindowAlpha
   49: 0x004FC660  SetChatWindowLocked
   50: 0x004FC760  SetChatWindowDocked
   51: 0x004FC6E0  SetChatWindowUninteractable
   52: 0x004FC810  SetChatWindowShown
   53: 0x004FC890  SetChatWindowSavedPosition
   54: 0x004FC9A0  SetChatWindowSavedDimensions
   55: 0x004FF200  EnumerateServerChannels
   56: 0x00500BE0  RequestRaidInfo
   57: 0x004FCA50  GetNumSavedInstances
   58: 0x004FF2C0  GetSavedInstanceInfo
   59: 0x0050DC10  SetSavedInstanceExtend
   60: 0x00501F00  ResetChatWindows
   61: 0x00500C80  CanComplainChat
   62: 0x0050ED00  ComplainChat
   63: 0x00504E10  GetNumDisplayChannels
   64: 0x004FF580  GetChannelDisplayInfo
   65: 0x004FFA10  GetSelectedDisplayChannel
   66: 0x00504E50  SetSelectedDisplayChannel
   67: 0x00504F30  GetChannelRosterInfo
   68: 0x00505190  GetNumChannelMembers
   69: 0x00500AE0  SetActiveVoiceChannel
   70: 0x004FBD40  GetActiveVoiceChannel
   71: 0x005052E0  CollapseChannelHeader
   72: 0x00505360  ExpandChannelHeader
   73: 0x004FEA70  ChannelVoiceOn
   74: 0x004FEA90  ChannelVoiceOff
   75: 0x004FEAB0  DisplayChannelVoiceOn
   76: 0x004FEAD0  DisplayChannelVoiceOff
   77: 0x004FFA70  IsDisplayChannelOwner
   78: 0x004FFAE0  IsDisplayChannelModerator
   79: 0x004FCBF0  IsVoiceChatEnabled
   80: 0x004FCC60  IsVoiceChatAllowed
   81: 0x004FCCB0  IsVoiceChatAllowedByServer
   82: 0x004FFB50  IsSilenced
   83: 0x004FCDF0  GetMuteStatus
   84: 0x004FCCF0  UnitIsSilenced
   85: 0x004FFC30  SetChannelWatch
   86: 0x004FFC50  ClearChannelWatch
   87: 0x004FFCC0  DeclineInvite
   88: 0x004FEDC0  SetChatColorNameByClass

=== Table 0x00AC80B0  Count=310 ===
    0: 0x0050F830  FrameXML_Debug
    1: 0x0050F890  GetBuildInfo
    2: 0x005222E0  ReloadUI
    3: 0x0052B470  RegisterForSave
    4: 0x0052B4E0  RegisterForSavePerCharacter
    5: 0x0050F8F0  SetLayoutMode
    6: 0x00514430  IsModifierKeyDown
    7: 0x005144C0  IsLeftShiftKeyDown
    8: 0x00514520  IsRightShiftKeyDown
    9: 0x00514580  IsShiftKeyDown
   10: 0x00514610  IsLeftControlKeyDown
   11: 0x00514670  IsRightControlKeyDown
   12: 0x005146D0  IsControlKeyDown
   13: 0x00514760  IsLeftAltKeyDown
   14: 0x005147C0  IsRightAltKeyDown
   15: 0x00514820  IsAltKeyDown
   16: 0x005148B0  IsMouseButtonDown
   17: 0x00514BA0  GetMouseButtonName
   18: 0x0050F950  GetMouseButtonClicked
   19: 0x0050F990  SetConsoleKey
   20: 0x005150E0  Screenshot
   21: 0x00510470  GetFramerate
   22: 0x008E5250  TogglePerformanceDisplay
   23: 0x008E5250  TogglePerformancePause
   24: 0x008E5250  TogglePerformanceValues
   25: 0x008E5250  ResetPerformanceValues
   26: 0x008E5250  GetDebugStats
   27: 0x0050FE80  IsDebugBuild
   28: 0x0050FF30  RegisterCVar
   29: 0x0050FF50  GetCVarInfo
   30: 0x00514C10  SetCVar
   31: 0x00510040  GetCVar
   32: 0x005100C0  GetCVarBool
   33: 0x00510150  GetCVarDefault
   34: 0x00514D40  GetCVarMin
   35: 0x00514E30  GetCVarMax
   36: 0x00514F60  GetCVarAbsoluteMin
   37: 0x00515010  GetCVarAbsoluteMax
   38: 0x00608560  GetWaterDetail
   39: 0x005101D0  SetWaterDetail
   40: 0x00510200  GetFarclip
   41: 0x00510230  SetFarclip
   42: 0x005102B0  GetTexLodBias
   43: 0x005102E0  SetTexLodBias
   44: 0x00510390  SetBaseMip
   45: 0x00510360  GetBaseMip
   46: 0x008E5250  ToggleTris
   47: 0x008E5250  TogglePortals
   48: 0x008E5250  ToggleCollision
   49: 0x008E5250  ToggleCollisionDisplay
   50: 0x008E5250  TogglePlayerBounds
   51: 0x00510410  Stuck
   52: 0x00510430  Logout
   53: 0x00510450  Quit
   54: 0x005104A0  SetCursor
   55: 0x00510920  ResetCursor
   56: 0x0051A3B0  ClearCursor
   57: 0x00515100  CursorHasItem
   58: 0x00515140  CursorHasSpell
   59: 0x00515180  CursorHasMacro
   60: 0x005151C0  CursorHasMoney
   61: 0x00515200  GetCursorInfo
   62: 0x0051A3D0  EquipCursorItem
   63: 0x00522320  DeleteCursorItem
   64: 0x0051A530  EquipPendingItem
   65: 0x0051A5C0  CancelPendingEquip
   66: 0x00525A30  TargetUnit
   67: 0x00525A90  TargetNearest
   68: 0x00525AD0  TargetNearestEnemy
   69: 0x00525B10  TargetNearestEnemyPlayer
   70: 0x00525B50  TargetNearestFriend
